i,j,k,FE,SI,G1,G2,G3,LITOTIPO,ORE,X,Y,Z
1,54,21,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640875.0,8426525.0,537.5
2,50,15,26.94,49.6,98.9,1.0,0.1,JP,0,640925.0,8426325.0,387.5
2,50,16,26.94,49.6,98.9,1.0,0.1,MS,0,640925.0,8426325.0,412.5
2,54,26,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640925.0,8426525.0,662.5
2,54,27,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640925.0,8426525.0,687.5
2,54,28,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640925.0,8426525.0,712.5
2,54,29,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640925.0,8426525.0,737.5
2,54,31,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640925.0,8426525.0,787.5
2,56,18,59.41,0.83,-99.0,-99.0,-99.0,MS,0,640925.0,8426625.0,462.5
2,56,20,59.41,0.83,-99.0,-99.0,-99.0,MS,0,640925.0,8426625.0,512.5
3,35,34,31.8,19.9,9.6,58.4,32.0,CG,0,640975.0,8425575.0,862.5
3,35,38,31.8,19.9,9.6,58.4,32.0,MD,0,640975.0,8425575.0,962.5
3,44,19,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640975.0,8426025.0,487.5
3,44,20,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426025.0,512.5
3,44,21,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426025.0,537.5
3,49,17,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426275.0,437.5
3,49,19,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426275.0,487.5
3,49,20,29.63,55.82,89.8,9.1,1.1,JP,0,640975.0,8426275.0,512.5
3,50,13,26.94,49.6,98.9,1.0,0.1,MS,0,640975.0,8426325.0,337.5
3,50,14,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426325.0,362.5
3,50,15,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426325.0,387.5
3,50,20,29.63,55.82,89.8,9.1,1.1,MS,0,640975.0,8426325.0,512.5
3,52,17,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640975.0,8426425.0,437.5
3,52,18,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,462.5
3,52,19,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,487.5
3,52,20,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,512.5
3,52,21,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,537.5
3,52,22,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640975.0,8426425.0,562.5
3,52,23,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640975.0,8426425.0,587.5
3,52,24,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640975.0,8426425.0,612.5
3,52,25,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640975.0,8426425.0,637.5
3,53,30,54.8,3.74,-99.0,-99.0,-99.0,MS,0,640975.0,8426475.0,762.5
3,53,31,54.79999999999999,3.74,-99.0,-99.0,-99.0,MS,0,640975.0,8426475.0,787.5
3,54,33,54.8,3.74,-99.0,-99.0,-99.0,MD,0,640975.0,8426525.0,837.5
3,54,34,-60.55,-73.315,-99.0,-99.0,-99.0,CG,0,640975.0,8426525.0,862.5
3,54,35,54.8,3.74,-99.0,-99.0,-99.0,CG,0,640975.0,8426525.0,887.5
3,56,23,59.41,0.83,-99.0,-99.0,-99.0,JP,0,640975.0,8426625.0,587.5
3,56,25,59.41,0.83,-99.0,-99.0,-99.0,MD,0,640975.0,8426625.0,637.5
3,56,26,59.41,0.83,-99.0,-99.0,-99.0,JP,0,640975.0,8426625.0,662.5
3,71,29,40.99,40.6,93.0,6.1,0.9,JP,0,640975.0,8427375.0,737.5
3,71,30,21.6,28.9,52.5,41.0,6.4,MD,0,640975.0,8427375.0,762.5
3,71,31,28.9,23.1,52.5,41.0,6.4,MD,0,640975.0,8427375.0,787.5
3,71,32,28.9,23.1,52.5,41.0,6.4,MD,0,640975.0,8427375.0,812.5
3,71,33,32.37,9.17,52.5,41.0,6.4,CG,0,640975.0,8427375.0,837.5
3,74,24,55.89,5.49,28.83,41.69,29.47,JP,0,640975.0,8427525.0,612.5
3,76,12,63.44,16.98,-99.0,-99.0,-99.0,MS,0,640975.0,8427625.0,312.5
4,31,33,47.84,11.1,-99.0,-99.0,-99.0,MD,0,641025.0,8425375.0,837.5
4,31,34,47.84,11.1,-99.0,-99.0,-99.0,CG,0,641025.0,8425375.0,862.5
4,42,20,60.36,24.5,-99.0,-99.0,-99.0,MS,0,641025.0,8425925.0,512.5
4,42,21,60.36,24.5,-99.0,-99.0,-99.0,MS,0,641025.0,8425925.0,537.5
4,42,22,60.36,24.5,-99.0,-99.0,-99.0,MD,0,641025.0,8425925.0,562.5
4,42,23,60.36,24.5,-99.0,-99.0,-99.0,MD,0,641025.0,8425925.0,587.5
4,42,24,60.36,24.5,-99.0,-99.0,-99.0,MS,0,641025.0,8425925.0,612.5
4,42,25,60.36,24.5,-99.0,-99.0,-99.0,MD,0,641025.0,8425925.0,637.5
4,42,26,60.36,24.5,-99.0,-99.0,-99.0,HC,0,641025.0,8425925.0,662.5
4,44,22,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641025.0,8426025.0,562.5
4,44,23,-99.0,-99.0,-99.0,-99.0,-99.0,SR,0,641025.0,8426025.0,587.5
4,44,24,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641025.0,8426025.0,612.5
4,44,29,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641025.0,8426025.0,737.5
4,48,20,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641025.0,8426225.0,512.5
4,50,21,29.63,55.82,89.8,9.1,1.1,JP,0,641025.0,8426325.0,537.5
4,50,23,29.63,55.82,89.8,9.1,1.1,MS,0,641025.0,8426325.0,587.5
4,50,24,29.63,55.82,89.8,9.1,1.1,JP,0,641025.0,8426325.0,612.5
4,50,25,25.73,57.583333333333336,90.66666666666667,8.333333333333334,1.0,JP,0,641025.0,8426325.0,637.5
4,50,26,26.47,53.31,90.7,8.100000000000001,1.25,JP,0,641025.0,8426325.0,662.5
4,50,28,25.935,59.86,-4.299999999999997,-45.35,-48.85,JP,0,641025.0,8426325.0,712.5
4,52,26,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641025.0,8426425.0,662.5
4,52,27,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641025.0,8426425.0,687.5
4,52,28,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641025.0,8426425.0,712.5
4,52,29,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641025.0,8426425.0,737.5
4,52,30,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641025.0,8426425.0,762.5
4,53,23,54.8,3.74,-99.0,-99.0,-99.0,MS,0,641025.0,8426475.0,587.5
4,53,25,54.8,3.74,-99.0,-99.0,-99.0,JP,0,641025.0,8426475.0,637.5
4,53,27,54.8,3.74,-99.0,-99.0,-99.0,MS,0,641025.0,8426475.0,687.5
4,53,28,54.8,3.74,-99.0,-99.0,-99.0,MD,0,641025.0,8426475.0,712.5
4,53,29,54.8,3.7400000000000007,-99.0,-99.0,-99.0,MS,0,641025.0,8426475.0,737.5
4,53,30,54.79999999999999,3.74,-99.0,-99.0,-99.0,JP,0,641025.0,8426475.0,762.5
4,56,26,59.41,0.83,-99.0,-99.0,-99.0,JP,0,641025.0,8426625.0,662.5
4,56,27,59.41,0.83,-99.0,-99.0,-99.0,MD,0,641025.0,8426625.0,687.5
4,56,28,59.41,0.83,-99.0,-99.0,-99.0,MD,0,641025.0,8426625.0,712.5
4,56,29,59.41,0.83,-99.0,-99.0,-99.0,MS,0,641025.0,8426625.0,737.5
4,56,30,59.41,0.83,-99.0,-99.0,-99.0,MD,0,641025.0,8426625.0,762.5
4,56,31,59.41,0.83,-99.0,-99.0,-99.0,MD,0,641025.0,8426625.0,787.5
4,56,32,59.41,0.83,-99.0,-99.0,-99.0,MD,0,641025.0,8426625.0,812.5
4,56,34,57.77,0.6966666666666667,-99.0,-99.0,-99.0,CG,0,641025.0,8426625.0,862.5
4,57,33,59.11,0.72,56.4,34.9,8.8,CM,0,641025.0,8426675.0,837.5
4,57,34,61.92,0.67,57.6,36.8,5.6,CM,1,641025.0,8426675.0,862.5
4,58,34,64.31,0.93,82.8,14.9,2.29,CM,1,641025.0,8426725.0,862.5
4,60,22,61.64,7.36,-99.0,-99.0,-99.0,MS,0,641025.0,8426825.0,562.5
4,60,23,61.64,7.36,-99.0,-99.0,-99.0,JP,0,641025.0,8426825.0,587.5
4,62,25,59.48,6.67,42.3,45.4,12.3,MS,0,641025.0,8426925.0,637.5
4,71,28,39.51,40.91,94.1,5.2,0.7,JP,0,641025.0,8427375.0,712.5
4,71,29,39.51,40.91,94.1,5.2,0.7,JP,0,641025.0,8427375.0,737.5
4,72,33,35.5,11.9,32.9,53.0,14.1,CG,0,641025.0,8427425.0,837.5
4,72,34,35.5,11.9,32.9,53.0,14.1,CG,0,641025.0,8427425.0,862.5
4,74,24,55.89,5.49,28.83,41.69,29.47,MS,0,641025.0,8427525.0,612.5
4,74,26,55.89,5.49,28.83,41.69,29.47,MD,0,641025.0,8427525.0,662.5
4,74,28,47.47666666666667,10.786666666666667,26.096666666666664,40.57,33.32,HEM,0,641025.0,8427525.0,712.5
4,74,29,49.26,11.06,30.16333333333333,35.18333333333333,34.63333333333333,JP,0,641025.0,8427525.0,737.5
4,74,30,30.69,2.86,34.93,33.61,31.44,MD,0,641025.0,8427525.0,762.5
4,76,16,63.44,16.98,-99.0,-99.0,-99.0,JP,0,641025.0,8427625.0,412.5
4,76,19,63.44,16.98,-99.0,-99.0,-99.0,MS,0,641025.0,8427625.0,487.5
4,76,20,63.44,16.98,-99.0,-99.0,-99.0,JP,0,641025.0,8427625.0,512.5
4,79,16,60.27,11.62,13.89,63.2,22.92,JP,0,641025.0,8427775.0,412.5
5,23,39,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641075.0,8424975.0,987.5
5,24,34,-99.0,-99.0,-99.0,-99.0,-99.0,CG,0,641075.0,8425025.0,862.5
5,31,26,47.84,11.1,-99.0,-99.0,-99.0,JP,0,641075.0,8425375.0,662.5
5,31,28,47.84,11.1,-99.0,-99.0,-99.0,MS,0,641075.0,8425375.0,712.5
5,31,31,47.84,11.1,-99.0,-99.0,-99.0,MD,0,641075.0,8425375.0,787.5
5,42,27,46.13666666666666,25.19,-99.0,-99.0,-99.0,HEM,0,641075.0,8425925.0,687.5
5,42,28,60.57,17.97,-99.0,-99.0,-99.0,HC,0,641075.0,8425925.0,712.5
5,42,29,49.9,0.48,-99.0,-99.0,-99.0,MD,0,641075.0,8425925.0,737.5
5,42,32,49.9,0.48,-99.0,-99.0,-99.0,MD,0,641075.0,8425925.0,812.5
5,42,34,49.9,0.48,-99.0,-99.0,-99.0,CG,0,641075.0,8425925.0,862.5
5,44,34,-99.0,-99.0,-99.0,-99.0,-99.0,CG,0,641075.0,8426025.0,862.5
5,46,21,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641075.0,8426125.0,537.5
5,46,26,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641075.0,8426125.0,662.5
5,48,27,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641075.0,8426225.0,687.5
5,48,28,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641075.0,8426225.0,712.5
5,48,30,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641075.0,8426225.0,762.5
5,48,31,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641075.0,8426225.0,787.5
5,48,32,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641075.0,8426225.0,812.5
5,48,34,-99.0,-99.0,-99.0,-99.0,-99.0,CG,0,641075.0,8426225.0,862.5
5,50,29,23.03,64.23,86.16666666666667,10.733333333333334,3.1,JP,0,641075.0,8426325.0,737.5
5,50,30,19.66,68.92,84.5,11.5,4.0,MD,0,641075.0,8426325.0,762.5
5,50,32,19.66,68.92,84.5,11.5,4.0,MD,0,641075.0,8426325.0,812.5
5,50,33,49.34,24.46,99.96,0.0,0.0,HF,0,641075.0,8426325.0,837.5
5,50,34,41.285,35.505,92.22999999999999,5.75,2.0,CG,0,641075.0,8426325.0,862.5
5,50,35,62.91,2.09,99.96,0.0,0.0,CG,1,641075.0,8426325.0,887.5
5,52,30,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641075.0,8426425.0,762.5
5,52,31,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641075.0,8426425.0,787.5
5,52,32,-18.075,-35.865,-99.0,-99.0,-99.0,MD,0,641075.0,8426425.0,812.5
5,52,33,30.48,2.0159999999999996,-99.0,-99.0,-99.0,MD,0,641075.0,8426425.0,837.5
5,52,34,56.35,0.71,-99.0,-99.0,-99.0,MD,0,641075.0,8426425.0,862.5
5,52,35,-21.325,-49.145,-99.0,-99.0,-99.0,CM,0,641075.0,8426425.0,887.5
5,53,13,54.8,3.74,-99.0,-99.0,-99.0,JP,0,641075.0,8426475.0,337.5
5,53,16,54.8,3.74,-99.0,-99.0,-99.0,JP,0,641075.0,8426475.0,412.5
5,53,18,54.8,3.74,-99.0,-99.0,-99.0,MS,0,641075.0,8426475.0,462.5
5,53,20,54.8,3.74,-99.0,-99.0,-99.0,JP,0,641075.0,8426475.0,512.5
5,53,21,54.8,3.74,-99.0,-99.0,-99.0,MD,0,641075.0,8426475.0,537.5
5,54,28,37.56,42.97,79.54,14.76,5.71,MS,0,641075.0,8426525.0,712.5
5,54,30,37.56,42.97,79.54,14.76,5.71,MD,0,641075.0,8426525.0,762.5
5,54,31,37.56,42.97,79.54,14.76,5.71,MD,0,641075.0,8426525.0,787.5
5,54,32,61.375,3.98,-99.0,-99.0,-99.0,HF,1,641075.0,8426525.0,812.5
5,54,33,62.584999999999994,11.2,-99.0,-99.0,-99.0,HF,0,641075.0,8426525.0,837.5
5,54,34,63.8,18.73,-99.0,-99.0,-99.0,MD,0,641075.0,8426525.0,862.5
5,54,35,63.8,18.73,-99.0,-99.0,-99.0,CG,0,641075.0,8426525.0,887.5
5,56,27,27.7,45.6,75.58,20.77,3.64,ms,0,641075.0,8426625.0,687.5
5,56,30,27.7,45.6,75.58,20.77,3.64,jp,0,641075.0,8426625.0,762.5
5,56,31,27.7,45.6,75.58,20.77,3.64,MD,0,641075.0,8426625.0,787.5
5,56,32,45.464999999999996,24.455000000000002,-11.71,-39.115,-47.68,hf,0,641075.0,8426625.0,812.5
5,56,33,63.133333333333326,20.48,-57.49966666666666,-44.989,-62.442,hf,0,641075.0,8426625.0,837.5
5,56,34,60.519999999999996,0.83,-99.0,-99.0,-99.0,CM,1,641075.0,8426625.0,862.5
5,57,22,64.09,6.35,12.9,71.0,16.1,MD,0,641075.0,8426675.0,562.5
5,57,23,64.09,6.349999999999999,12.9,71.0,16.1,MD,0,641075.0,8426675.0,587.5
5,57,24,64.09,6.35,12.9,71.0,16.1,MD,0,641075.0,8426675.0,612.5
5,57,25,64.09,6.35,12.9,71.0,16.1,JP,0,641075.0,8426675.0,637.5
5,57,27,64.09,6.35,12.9,71.0,16.1,MD,0,641075.0,8426675.0,687.5
5,57,28,64.09,6.35,12.9,71.0,16.1,MD,0,641075.0,8426675.0,712.5
5,57,29,64.09,6.35,12.9,71.0,16.1,MD,0,641075.0,8426675.0,737.5
5,57,30,64.09,6.35,12.9,71.0,16.1,JP,0,641075.0,8426675.0,762.5
5,57,31,43.22,18.825,12.9,71.0,16.1,MD,0,641075.0,8426675.0,787.5
5,57,32,22.85,29.15,12.9,71.0,16.1,MD,0,641075.0,8426675.0,812.5
5,57,33,63.665000000000006,19.375,28.2,58.45,13.350000000000001,HF,0,641075.0,8426675.0,837.5
5,58,29,18.9,38.6,76.9,20.1,3.0,MD,0,641075.0,8426725.0,737.5
5,58,30,19.1,40.7,76.9,20.1,3.0,MD,0,641075.0,8426725.0,762.5
5,58,31,20.3,30.4,76.9,20.1,3.0,MD,0,641075.0,8426725.0,787.5
5,58,32,18.85,34.65,76.9,20.1,3.0,MD,0,641075.0,8426725.0,812.5
5,58,33,34.095,16.315,76.9,20.1,3.0,MD,0,641075.0,8426725.0,837.5
5,58,34,50.49,1.13,76.9,20.1,3.0,CG,0,641075.0,8426725.0,862.5
5,60,23,61.64,7.36,-99.0,-99.0,-99.0,JP,0,641075.0,8426825.0,587.5
5,60,24,61.64,7.36,-99.0,-99.0,-99.0,HF,0,641075.0,8426825.0,612.5
5,60,25,62.83,6.18,-99.0,-99.0,-99.0,HF,0,641075.0,8426825.0,637.5
5,60,30,62.83,6.18,-99.0,-99.0,-99.0,MD,0,641075.0,8426825.0,762.5
5,62,26,59.48,6.67,42.3,45.4,12.3,MS,0,641075.0,8426925.0,662.5
5,62,27,59.48,6.669999999999999,42.3,45.4,12.300000000000002,JP,0,641075.0,8426925.0,687.5
5,62,28,59.48,6.67,42.3,45.4,12.3,JP,0,641075.0,8426925.0,712.5
5,62,29,59.48,6.67,42.3,45.4,12.3,JP,0,641075.0,8426925.0,737.5
5,62,32,59.48,6.67,42.3,45.4,12.3,MD,0,641075.0,8426925.0,812.5
5,69,12,48.07,29.93,91.87,7.07,1.06,MS,0,641075.0,8427275.0,312.5
5,70,19,41.8,38.2,100.0,0.0,0.0,MS,0,641075.0,8427325.0,487.5
5,71,23,10.8,50.1,94.1,5.2,0.7,MS,0,641075.0,8427375.0,587.5
5,71,24,10.8,51.4,94.1,5.2,0.7,MS,0,641075.0,8427375.0,612.5
5,71,26,39.51,40.91,94.1,5.2,0.7,JP,0,641075.0,8427375.0,662.5
5,72,28,40.045,40.94,93.7,5.85,0.45,JP,0,641075.0,8427425.0,712.5
5,72,29,49.653333333333336,25.5,13.266666666666666,68.43333333333334,18.3,HEM,0,641075.0,8427425.0,737.5
5,72,30,27.5,22.7,13.3,63.0,23.7,MD,0,641075.0,8427425.0,762.5
5,72,31,62.67,26.83,13.3,63.0,23.7,HF,0,641075.0,8427425.0,787.5
5,72,32,51.2475,3.67,32.9,53.0,14.1,JP,0,641075.0,8427425.0,812.5
5,74,31,30.69,2.86,34.93,33.61,31.44,MD,0,641075.0,8427525.0,787.5
5,74,32,34.195,14.055,34.93,33.61,31.44,CG,0,641075.0,8427525.0,812.5
5,74,33,40.47,0.9199999999999999,60.68,19.98,19.33,CG,0,641075.0,8427525.0,837.5
5,76,24,63.44,16.98,-99.0,-99.0,-99.0,JP,0,641075.0,8427625.0,612.5
5,76,28,63.44,16.98,-99.0,-99.0,-99.0,HF,0,641075.0,8427625.0,712.5
5,76,29,64.33,15.395,-99.0,-99.0,-99.0,HC,0,641075.0,8427625.0,737.5
5,76,30,65.22,13.81,-99.0,-99.0,-99.0,HF,0,641075.0,8427625.0,762.5
5,78,22,60.27,11.62,13.89,63.2,22.92,HF,0,641075.0,8427725.0,562.5
5,78,23,65.68,0.95,17.36,70.42,12.22,MD,1,641075.0,8427725.0,587.5
5,78,24,65.68,0.95,17.36,70.42,12.22,MD,1,641075.0,8427725.0,612.5
5,78,25,65.68,0.95,17.36,70.42,12.22,MD,1,641075.0,8427725.0,637.5
5,78,26,65.68,0.95,17.36,70.42,12.22,MD,1,641075.0,8427725.0,662.5
5,79,20,60.27,11.62,13.89,63.2,22.92,MD,0,641075.0,8427775.0,512.5
6,30,20,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641125.0,8425325.0,512.5
6,30,21,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641125.0,8425325.0,537.5
6,30,22,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641125.0,8425325.0,562.5
6,30,23,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641125.0,8425325.0,587.5
6,30,24,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641125.0,8425325.0,612.5
6,30,25,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641125.0,8425325.0,637.5
6,31,19,47.84,11.1,-99.0,-99.0,-99.0,MS,0,641125.0,8425375.0,487.5
6,31,21,47.84,11.1,-99.0,-99.0,-99.0,JP,0,641125.0,8425375.0,537.5
6,31,23,47.84,11.1,-99.0,-99.0,-99.0,JP,0,641125.0,8425375.0,587.5
6,31,24,47.84,11.1,-99.0,-99.0,-99.0,MS,0,641125.0,8425375.0,612.5
6,38,5,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641125.0,8425725.0,137.5
6,39,4,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641125.0,8425775.0,112.5
6,42,33,61.94,11.17,-99.0,-99.0,-99.0,HF,0,641125.0,8425925.0,837.5
6,42,34,44.83,0.62,52.923,34.251,11.833,CG,0,641125.0,8425925.0,862.5
6,44,33,64.33,3.54,33.008,48.363,17.962,MD,1,641125.0,8426025.0,837.5
6,44,34,64.33,3.54,33.008,48.363,17.962,CG,1,641125.0,8426025.0,862.5
6,46,28,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,641125.0,8426125.0,712.5
6,46,29,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641125.0,8426125.0,737.5
6,46,30,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,641125.0,8426125.0,762.5
6,46,31,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641125.0,8426125.0,787.5
6,46,33,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641125.0,8426125.0,837.5
6,46,34,-29.195,-40.025,-10.474499999999999,-41.5895,-46.644,CG,0,641125.0,8426125.0,862.5
6,48,27,47.79,1.26,-99.0,-99.0,-99.0,MD,0,641125.0,8426225.0,687.5
6,48,29,47.79,1.26,-99.0,-99.0,-99.0,MD,0,641125.0,8426225.0,737.5
6,48,31,47.79,1.26,-99.0,-99.0,-99.0,MD,0,641125.0,8426225.0,787.5
6,48,33,47.31,0.96,-99.0,-99.0,-99.0,MD,0,641125.0,8426225.0,837.5
6,48,34,55.26,0.66,-99.0,-99.0,-99.0,MD,0,641125.0,8426225.0,862.5
6,48,35,55.26,0.66,-99.0,-99.0,-99.0,CM,0,641125.0,8426225.0,887.5
6,50,25,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,641125.0,8426325.0,637.5
6,50,27,-36.55,-19.0,0.5,-49.5,-49.5,MD,0,641125.0,8426325.0,687.5
6,50,30,25.9,61.0,100.0,0.0,0.0,MD,0,641125.0,8426325.0,762.5
6,50,31,-99.0,-99.0,-99.0,-99.0,-99.0,DT,0,641125.0,8426325.0,787.5
6,50,32,37.9925,42.9,38.005,-16.34,-20.92,JP,0,641125.0,8426325.0,812.5
6,52,29,62.85,27.27,-99.0,-99.0,-99.0,MD,0,641125.0,8426425.0,737.5
6,52,30,62.85,27.27,-99.0,-99.0,-99.0,MD,0,641125.0,8426425.0,762.5
6,54,27,37.56,42.97,79.54,14.76,5.71,JP,0,641125.0,8426525.0,687.5
6,54,32,29.9,3.33,59.4,33.3,7.27,MD,0,641125.0,8426525.0,812.5
6,54,34,29.9,3.33,59.4,33.3,7.27,MD,0,641125.0,8426525.0,862.5
6,54,35,59.36,0.94,59.4,33.3,7.27,CM,0,641125.0,8426525.0,887.5
6,56,22,27.7,45.6,75.58,20.77,3.64,jp,0,641125.0,8426625.0,562.5
6,56,23,27.7,45.6,75.58,20.77,3.64,ms,0,641125.0,8426625.0,587.5
6,56,24,27.7,45.6,75.58,20.77,3.64,jp,0,641125.0,8426625.0,612.5
6,56,25,27.7,45.6,75.58,20.77,3.64,jp,0,641125.0,8426625.0,637.5
6,56,34,31.3,14.7,57.6,33.6,8.8,MD,0,641125.0,8426625.0,862.5
6,56,35,50.44,0.87,57.6,33.6,8.8,CG,0,641125.0,8426625.0,887.5
6,57,19,64.09,6.35,12.9,71.0,16.1,JP,0,641125.0,8426675.0,487.5
6,58,35,64.13,25.3,48.952,37.377,13.673,CG,0,641125.0,8426725.0,887.5
6,58,36,64.13,25.3,48.952,37.377,13.673,MD,0,641125.0,8426725.0,912.5
6,58,37,64.13,25.3,48.952,37.377,13.673,MD,0,641125.0,8426725.0,937.5
6,59,33,22.4,27.2,71.7,25.3,3.01,Hf,0,641125.0,8426775.0,837.5
6,59,34,26.15,11.94,71.7,25.3,3.01,Md,0,641125.0,8426775.0,862.5
6,59,35,47.68,0.67,71.7,25.3,3.01,CG,0,641125.0,8426775.0,887.5
6,60,31,60.0,4.13,-99.0,-99.0,-99.0,HC,1,641125.0,8426825.0,787.5
6,60,32,37.065,23.740000000000002,-20.0,-31.95,-46.535,MD,0,641125.0,8426825.0,812.5
6,60,33,45.553333333333335,12.683333333333332,-46.333333333333336,-54.300000000000004,-64.02333333333333,MD,0,641125.0,8426825.0,837.5
6,60,34,59.707499999999996,3.4749999999999996,-99.0,-99.0,-99.0,CG,0,641125.0,8426825.0,862.5
6,60,35,61.685,3.375,-99.0,-99.0,-99.0,CG,1,641125.0,8426825.0,887.5
6,61,33,22.0,25.3,59.0,35.1,5.93,MD,0,641125.0,8426875.0,837.5
6,61,34,21.28,23.15,59.0,35.1,5.93,CG,0,641125.0,8426875.0,862.5
6,61,35,36.7,16.23,59.0,35.1,5.93,CG,0,641125.0,8426875.0,887.5
6,62,30,36.9,48.5,99.99,0.0,0.0,JP,0,641125.0,8426925.0,762.5
6,62,31,33.0,51.1,100.0,0.0,0.0,JP,0,641125.0,8426925.0,787.5
6,62,32,23.7,47.6,57.45,32.3,10.22,MD,0,641125.0,8426925.0,812.5
6,62,33,37.45333333333333,38.96,43.26666666666667,43.06666666666666,13.626666666666667,HF,0,641125.0,8426925.0,837.5
6,62,34,52.269999999999996,14.7325,43.025,43.65,13.295000000000002,CG,0,641125.0,8426925.0,862.5
6,62,35,45.65,25.84,57.45,32.3,10.22,CG,0,641125.0,8426925.0,887.5
6,67,22,48.07,29.93,91.87,7.07,1.06,JP,0,641125.0,8427175.0,562.5
6,70,25,41.8,38.2,100.0,0.0,0.0,JP,0,641125.0,8427325.0,637.5
6,70,31,41.9,38.7,100.0,0.0,0.0,JP,0,641125.0,8427325.0,787.5
6,70,32,41.28,38.67,98.07,1.58,0.36,JP,0,641125.0,8427325.0,812.5
6,72,22,39.98,41.19,93.7,5.8,0.5,MS,0,641125.0,8427425.0,562.5
6,72,23,39.98,41.19,93.7,5.8,0.5,JP,0,641125.0,8427425.0,587.5
6,72,34,21.34,30.0,69.39,22.66,7.95,CG,0,641125.0,8427425.0,862.5
6,73,21,30.87,44.1,93.5,5.9,0.56,JP,0,641125.0,8427475.0,537.5
6,73,24,27.555,43.635000000000005,91.3,7.9,0.765,JP,0,641125.0,8427475.0,612.5
6,73,25,16.4,36.8,16.4,66.2,17.38,MS,0,641125.0,8427475.0,637.5
6,73,26,65.48,2.5,16.4,66.2,17.38,HF,1,641125.0,8427475.0,662.5
6,73,29,40.1,1.57,62.1,31.6,6.24,MD,0,641125.0,8427475.0,737.5
6,73,31,40.1,1.57,62.1,31.6,6.24,MD,0,641125.0,8427475.0,787.5
6,73,32,40.1,1.57,62.1,31.6,6.24,MD,0,641125.0,8427475.0,812.5
6,73,33,48.39,6.359999999999999,52.5,39.3,8.17,CG,0,641125.0,8427475.0,837.5
6,74,31,59.67,1.27,-99.0,-99.0,-99.0,HF,0,641125.0,8427525.0,787.5
6,74,32,46.63,10.28,-99.0,-99.0,-99.0,MD,0,641125.0,8427525.0,812.5
6,74,33,46.63,10.28,-99.0,-99.0,-99.0,CG,0,641125.0,8427525.0,837.5
